epoch,stage,loss,accuracy,f1,auc
0,train,0.03834463069689817,0.43498659133911133,0.42146581411361694,0.6939764022827148
0,val,0.03468845742754638,0.5453125238418579,0.32458293437957764,0.6705344915390015
1,train,0.0347141462200928,0.48491957783699036,0.4677945673465729,0.7421793937683105
1,val,0.037788954493589696,0.40351563692092896,0.31806492805480957,0.6852260828018188
2,train,0.03294968091690508,0.5192694664001465,0.5061814188957214,0.7652192115783691
2,val,0.036621237103827295,0.521484375,0.3981190025806427,0.7131510972976685
3,train,0.03178387409920028,0.5485925078392029,0.5368989109992981,0.7814485430717468
3,val,0.03710025770124048,0.43085938692092896,0.32562682032585144,0.7319246530532837
4,train,0.03127012991074263,0.5470844507217407,0.5372231006622314,0.7863524556159973
4,val,0.04029284208081663,0.29804688692092896,0.30103546380996704,0.7402050495147705
5,train,0.029538396236564134,0.5842828154563904,0.5694035291671753,0.8146901726722717
5,val,0.030864030215889217,0.5785156488418579,0.48671630024909973,0.778835654258728
6,train,0.027603300203426915,0.6194705367088318,0.6054621934890747,0.8388658761978149
6,val,0.0425694762263447,0.4007812440395355,0.3241608142852783,0.7519974708557129
7,train,0.026693459899831393,0.6318699717521667,0.6181063055992126,0.8486533761024475
7,val,0.0355271321721375,0.42460936307907104,0.39911895990371704,0.7730488181114197
8,train,0.025610643206788453,0.6404155492782593,0.6335421800613403,0.8612282276153564
8,val,0.028657868690788745,0.6167968511581421,0.4899333119392395,0.8062002658843994
9,train,0.02460281999317315,0.65800940990448,0.6466388702392578,0.8681544661521912
9,val,0.031844951841048894,0.5859375,0.47212427854537964,0.7957463264465332
10,train,0.024206802898134046,0.6729222536087036,0.6662421226501465,0.8745368719100952
10,val,0.032256439747288826,0.5640624761581421,0.4706750512123108,0.8082609176635742
11,train,0.023658146597345137,0.6819705367088318,0.6699702739715576,0.8788294792175293
11,val,0.03013305163476616,0.5699218511581421,0.49580663442611694,0.8106056451797485
12,train,0.02371869245718855,0.6714141964912415,0.6630937457084656,0.8784348368644714
12,val,0.026000923779793083,0.6441406011581421,0.5591241121292114,0.8293360471725464
13,train,0.02304539698657977,0.6804624795913696,0.6693347096443176,0.8833438158035278
13,val,0.030780746741220354,0.5785156488418579,0.46420836448669434,0.8119558691978455
