epoch,stage,loss,accuracy,f1,auc
0,train,0.033085936026263175,0.5170911550521851,0.5055270195007324,0.7722023129463196
0,val,0.03471776680089533,0.46953123807907104,0.3901914358139038,0.7994581460952759
1,train,0.025506938750238906,0.6610254645347595,0.6492701768875122,0.8681522607803345
1,val,0.02448615183820948,0.6796875,0.5670702457427979,0.8800020217895508
2,train,0.021247835555201242,0.7315683364868164,0.7243945002555847,0.9073160290718079
2,val,0.023052716348320245,0.6851562261581421,0.617666482925415,0.8942543268203735
3,train,0.019171389129422307,0.7582104802131653,0.7501070499420166,0.9220688343048096
3,val,0.02327559789409861,0.698437511920929,0.5926306247711182,0.9071396589279175
4,train,0.017156994746793212,0.7885388731956482,0.7860347032546997,0.9378700256347656
4,val,0.016410399653250352,0.7886718511581421,0.6893633604049683,0.9348416328430176
5,train,0.01669749770633097,0.79775470495224,0.7930543422698975,0.9410128593444824
5,val,0.018250787060242146,0.76953125,0.6971933245658875,0.9388370513916016
6,train,0.015257337984526605,0.8150134086608887,0.8128975629806519,0.9498733282089233
6,val,0.01733604761539027,0.782031238079071,0.6746344566345215,0.9417291879653931
7,train,0.014834971386869376,0.8181970715522766,0.8141348361968994,0.9506703615188599
7,val,0.01587183978408575,0.801953136920929,0.7074195146560669,0.9446667432785034
8,train,0.014970412105821253,0.8188672661781311,0.8162825703620911,0.9510576725006104
8,val,0.015525431610876694,0.8003906011581421,0.7112614512443542,0.9432182312011719
9,train,0.013225981523719774,0.8404825925827026,0.8362783193588257,0.9598079919815063
9,val,0.018969501450192182,0.753125011920929,0.6746405363082886,0.9373481869697571
10,train,0.013645912263412578,0.8329423666000366,0.8301619291305542,0.9576413631439209
10,val,0.014891692413948476,0.8203125,0.7390837073326111,0.9461808204650879
11,train,0.012936057293183362,0.8476876616477966,0.8455309271812439,0.961297869682312
11,val,0.017889587231911717,0.7718750238418579,0.7155354022979736,0.9411689043045044
12,train,0.012632840083307778,0.84550940990448,0.8411402106285095,0.9620680809020996
12,val,0.016456823609769345,0.7964843511581421,0.7197377681732178,0.9451205134391785
13,train,0.012420493461461313,0.8503686189651489,0.8476598858833313,0.9625183343887329
13,val,0.014800408273003995,0.8265625238418579,0.751361072063446,0.950581431388855
14,train,0.01201852361968751,0.8560656905174255,0.8540105819702148,0.965419352054596
14,val,0.01439814259065315,0.819140613079071,0.7399436831474304,0.947685956954956
15,train,0.011528508657784308,0.8634383082389832,0.8593032360076904,0.9669313430786133
15,val,0.015230669197626412,0.8207031488418579,0.746570348739624,0.9478058218955994
16,train,0.011527013123514824,0.8691353797912598,0.867983877658844,0.968040943145752
16,val,0.016744209721218796,0.794140636920929,0.6961987018585205,0.9391473531723022
17,train,0.012099528810054303,0.8538873791694641,0.8508449792861938,0.9650981426239014
17,val,0.015065592777682468,0.815234363079071,0.7365587949752808,0.9436957240104675
18,train,0.011911243729632917,0.8589141964912415,0.857528805732727,0.9652713537216187
18,val,0.013686005765339359,0.8363281488418579,0.7633882164955139,0.9522278308868408
19,train,0.011440691505696115,0.862600564956665,0.8614461421966553,0.9680720567703247
19,val,0.015014324220828712,0.8160156011581421,0.7330663800239563,0.9489842653274536
