epoch,stage,loss,accuracy,f1,auc
0,train,0.04345715433439045,0.2674262821674347,0.25139060616493225,0.5177164077758789
1,train,0.04330875374995991,0.277479887008667,0.26458966732025146,0.5223942995071411
2,train,0.043168736626731166,0.2766420841217041,0.2533230483531952,0.5323446989059448
3,train,0.0419687775360675,0.31752681732177734,0.31465381383895874,0.5688068866729736
4,train,0.041522442855080714,0.3262399435043335,0.3292461931705475,0.5841594934463501
4,val,0.041363020241260526,0.2984375059604645,0.1947498619556427,0.5691362619400024
5,train,0.04092127700952998,0.3379691541194916,0.3282829523086548,0.6168708801269531
6,train,0.03352848074870838,0.445040225982666,0.42160993814468384,0.7207741737365723
7,train,0.03195285134956281,0.46380695700645447,0.44418781995773315,0.7325574159622192
8,train,0.031207224988346126,0.46263405680656433,0.45014244318008423,0.7382932901382446
9,train,0.030387625248039056,0.4817359149456024,0.47036153078079224,0.7484805583953857
9,val,0.035628592525608835,0.30742186307907104,0.28060251474380493,0.6792512536048889
10,train,0.03065817467568707,0.48525470495224,0.4686223268508911,0.7472258806228638
11,train,0.030105050333623273,0.48927614092826843,0.47847259044647217,0.7545056343078613
12,train,0.030103013229034543,0.49212467670440674,0.4791674017906189,0.753637433052063
13,train,0.029633808911006507,0.5115616917610168,0.48720046877861023,0.7706027030944824
14,train,0.028882449527767962,0.5556300282478333,0.5380285978317261,0.7908833622932434
14,val,0.03525760255288333,0.37187498807907104,0.3954614996910095,0.7460877895355225
15,train,0.027895555888919343,0.5889745354652405,0.5592455863952637,0.8137712478637695
16,train,0.025801349750872272,0.6286863088607788,0.597804069519043,0.8471642732620239
17,train,0.024676676694773157,0.6561661958694458,0.623207688331604,0.8616817593574524
18,train,0.022984729150944357,0.6841487884521484,0.6487356424331665,0.8782016634941101
19,train,0.022374030387393593,0.692694365978241,0.6663567423820496,0.8835436701774597
19,val,0.021047826355788855,0.69921875,0.5696983933448792,0.8916221857070923
20,train,0.02190486451575967,0.707439661026001,0.683645486831665,0.8874889612197876
21,train,0.020990766410094164,0.717325747013092,0.6967964768409729,0.8951004147529602
22,train,0.01975034853448497,0.7340817451477051,0.7143968343734741,0.9046199321746826
23,train,0.019846590325715716,0.7330763936042786,0.7226477861404419,0.9064102172851562
24,train,0.020224003505770707,0.7273793816566467,0.7129766941070557,0.9037635326385498
24,val,0.021518967812880874,0.7132812738418579,0.6423380374908447,0.8939574956893921
25,train,0.019863309438562585,0.73525470495224,0.7196363210678101,0.9073252081871033
26,train,0.019133898097492413,0.7419571280479431,0.7305107116699219,0.9110017418861389
27,train,0.018934049226603304,0.75,0.7360405921936035,0.9147124290466309
28,train,0.018532101863910303,0.7620643377304077,0.7535820007324219,0.918971598148346
29,train,0.018391142042488578,0.7570375204086304,0.748494029045105,0.9208842515945435
29,val,0.017292515083681792,0.776171863079071,0.700056254863739,0.9244477152824402
30,train,0.018407224540176723,0.7617292404174805,0.7547092437744141,0.9183043837547302
31,train,0.018044036860520335,0.7714477181434631,0.764580249786377,0.9224056601524353
32,train,0.017567187050811887,0.774296224117279,0.7681535482406616,0.926803708076477
33,train,0.017140818135588164,0.7763069868087769,0.7699650526046753,0.9301966428756714
34,train,0.01718564372479756,0.77949059009552,0.774132251739502,0.9298907518386841
34,val,0.015771644946653396,0.803906261920929,0.7403157353401184,0.9349105358123779
35,train,0.0172512993895656,0.7858579158782959,0.7810937166213989,0.9306820034980774
36,train,0.016682962699725863,0.7915549874305725,0.7864293456077576,0.9352139234542847
37,train,0.017291030469512813,0.7838472127914429,0.7794188261032104,0.9291262626647949
38,train,0.016477231001206762,0.7989276051521301,0.7933812141418457,0.9363043904304504
39,train,0.01627996832571784,0.7994303107261658,0.7938486337661743,0.9393202066421509
39,val,0.017704438918735833,0.776171863079071,0.7004297971725464,0.9316774606704712
40,train,0.015182355388839188,0.8155161142349243,0.8109773993492126,0.9448480010032654
41,train,0.01582781849404043,0.8099865913391113,0.8026258945465088,0.9412904977798462
42,train,0.01509867490696204,0.8146783113479614,0.8124487996101379,0.9469155073165894
43,train,0.015271394546006385,0.8171916604042053,0.81439208984375,0.9469935297966003
44,train,0.015403782199798577,0.8181970715522766,0.8159345388412476,0.9447016716003418
44,val,0.015081593219656497,0.8109375238418579,0.7500220537185669,0.9421493411064148
45,train,0.014621133628943012,0.8265750408172607,0.8240047097206116,0.9499973654747009
46,train,0.015113885671739285,0.8243967890739441,0.822114884853363,0.9455099105834961
47,train,0.01526172004200658,0.8180294632911682,0.8151792287826538,0.9458421468734741
48,train,0.014953463163536452,0.8171916604042053,0.8120162487030029,0.9473528265953064
49,train,0.014898080184017046,0.8227211833000183,0.8182824850082397,0.9483661651611328
49,val,0.014296355820260943,0.826171875,0.7820965051651001,0.9475213289260864
50,train,0.014941496974301721,0.8228887319564819,0.8191707134246826,0.9470901489257812
51,train,0.014693956540013606,0.8262399435043335,0.825893759727478,0.9487675428390503
52,train,0.014327773072784293,0.8270777463912964,0.8242397904396057,0.9517298936843872
53,train,0.014328245997388944,0.8294236063957214,0.8263083100318909,0.9514732360839844
54,train,0.013887769200566946,0.8374664783477783,0.8325124979019165,0.9545315504074097
54,val,0.013276825455250219,0.8382812738418579,0.7806118130683899,0.9497801065444946
55,train,0.014390184811189092,0.8290884494781494,0.8248825073242188,0.9512370824813843
56,train,0.01491664844907161,0.819705069065094,0.8136266469955444,0.9467501044273376
57,train,0.013168105313769135,0.8441689014434814,0.8426074385643005,0.9574053883552551
58,train,0.01361349735399034,0.8421581983566284,0.8401593565940857,0.9551072716712952
59,train,0.014326130689169223,0.832439661026001,0.8294624090194702,0.9502008557319641
