epoch,stage,loss,accuracy,f1,auc
0,train,0.04358730591014627,0.25067025423049927,0.2315605878829956,0.4933098256587982
1,train,0.043481923879471286,0.24966487288475037,0.2437979131937027,0.49446219205856323
2,train,0.04346455637635239,0.24983243644237518,0.18747851252555847,0.49325981736183167
3,train,0.04346619154908382,0.2481568306684494,0.2210511565208435,0.4891887307167053
4,train,0.043443821370601654,0.24782171845436096,0.20044268667697906,0.49936896562576294
4,val,0.04306857762858272,0.591796875,0.1858895719051361,0.5305565595626831
5,train,0.04345051233154839,0.24765415489673615,0.21106110513210297,0.4950460195541382
6,train,0.04072665353243217,0.3490281403064728,0.3178179860115051,0.6319608688354492
7,train,0.03474965372969254,0.45191019773483276,0.43082019686698914,0.7192311882972717
8,train,0.03286908024637373,0.4790549576282501,0.4499245584011078,0.7417511940002441
9,train,0.032186743461254774,0.5030161142349243,0.4684912860393524,0.7562905550003052
9,val,0.03503643381409347,0.49882811307907104,0.3498614430427551,0.6831322908401489
10,train,0.031762520605373636,0.5061997175216675,0.4686153531074524,0.7584803104400635
11,train,0.03159286847822468,0.5070375204086304,0.4641510844230652,0.7613147497177124
12,train,0.03082068661981869,0.5258042812347412,0.5035726428031921,0.7740194201469421
13,train,0.031182737786312843,0.527479887008667,0.4874112606048584,0.7717671394348145
14,train,0.030127195586467877,0.5353552103042603,0.48171085119247437,0.7827363610267639
14,val,0.03505844238679856,0.48046875,0.3724333643913269,0.7031232714653015
15,train,0.030273908993913405,0.5392091274261475,0.49140483140945435,0.7821148633956909
16,train,0.0296839925562888,0.5596514940261841,0.4997996687889099,0.7967319488525391
17,train,0.029476188592632718,0.5568029284477234,0.5020314455032349,0.7950056195259094
18,train,0.029335317389175657,0.5614946484565735,0.5390022993087769,0.8027719259262085
19,train,0.02718473695238538,0.6074061393737793,0.5752545595169067,0.8284768462181091
19,val,0.034248070791363716,0.5550781488418579,0.46970778703689575,0.7742323875427246
20,train,0.027282147630849407,0.6109249591827393,0.5818352103233337,0.8351320028305054
21,train,0.02614440913774053,0.6246649026870728,0.5987196564674377,0.8477787375450134
22,train,0.026015547855729713,0.6399128437042236,0.616940975189209,0.8506482839584351
23,train,0.025104207813180485,0.6471179723739624,0.6239490509033203,0.8603403568267822
24,train,0.02377962985702718,0.677949070930481,0.6574997305870056,0.8724178075790405
24,val,0.02894697755109519,0.59765625,0.5441965460777283,0.8287307024002075
25,train,0.024024602295406382,0.6745978593826294,0.6485866904258728,0.8713333606719971
26,train,0.023974016923007952,0.6722519993782043,0.6474730968475342,0.8716343641281128
27,train,0.02417030845127061,0.6710790991783142,0.6511920690536499,0.8731065392494202
28,train,0.023346852526148588,0.6858243942260742,0.6688023209571838,0.8815535306930542
29,train,0.02272998416252015,0.6896783113479614,0.6725780963897705,0.8855257034301758
29,val,0.028755837050266565,0.6128906011581421,0.549317479133606,0.8296006917953491
30,train,0.022654987237448666,0.6883378028869629,0.670788586139679,0.8856741786003113
31,train,0.02216817564443353,0.7044236063957214,0.682145893573761,0.8892066478729248
32,train,0.02224712969670347,0.694705069065094,0.6760154962539673,0.8880259394645691
33,train,0.021869687972735145,0.6980562806129456,0.6807620525360107,0.8908172845840454
34,train,0.022205252564904198,0.6972184777259827,0.6718830466270447,0.8879754543304443
34,val,0.023565186955966055,0.6734374761581421,0.613943338394165,0.8573875427246094
35,train,0.022091496226455187,0.7015750408172607,0.6862655878067017,0.8915148377418518
36,train,0.02154611812619837,0.7062667608261108,0.6928879022598267,0.8945395350456238
37,train,0.02169923833384111,0.7121313810348511,0.6930850148200989,0.8944666385650635
38,train,0.021057857899619493,0.7220174074172974,0.7039539813995361,0.8969526886940002
39,train,0.021384399129582156,0.7148123383522034,0.6965302228927612,0.894159734249115
39,val,0.02340806897263974,0.680859386920929,0.5957306623458862,0.8600789904594421
40,train,0.021110523322312506,0.7156501412391663,0.6994631886482239,0.8962839841842651
41,train,0.02060916165424256,0.7241957187652588,0.7131247520446777,0.9023926258087158
42,train,0.021382660772301876,0.714979887008667,0.701928973197937,0.8966600894927979
43,train,0.020718532512039346,0.7246983647346497,0.7071883678436279,0.9026360511779785
44,train,0.020220853912646584,0.7317359447479248,0.7193526029586792,0.9057479500770569
44,val,0.023514078627340496,0.668749988079071,0.6264858245849609,0.8662729859352112
45,train,0.02024996175303376,0.737265408039093,0.7256631851196289,0.906550943851471
46,train,0.020202458558988636,0.7298927903175354,0.7177568674087524,0.9046658277511597
47,train,0.01981377346945512,0.7345844507217407,0.719782829284668,0.9091153144836426
48,train,0.019685660771046824,0.7436327338218689,0.7292804718017578,0.9095132946968079
49,train,0.02028444740951221,0.7307305335998535,0.7158735394477844,0.9045754671096802
49,val,0.021172413148451596,0.7289062738418579,0.6645005941390991,0.8860254883766174
50,train,0.020294499945584635,0.7295576333999634,0.7103583216667175,0.9027692675590515
51,train,0.020000110113189303,0.7324061393737793,0.7237110137939453,0.9098726511001587
52,train,0.01941635277891287,0.7399463653564453,0.7274543046951294,0.9138306975364685
53,train,0.019860552828609143,0.7355898022651672,0.7253228425979614,0.9115991592407227
54,train,0.01896209466513296,0.7486594915390015,0.7408475875854492,0.9180419445037842
