epoch,stage,loss,accuracy,f1,auc
0,train,0.03624466217395128,0.4555965065956116,0.44087958335876465,0.7133824825286865
0,val,0.03770755373407155,0.29765623807907104,0.20536252856254578,0.6971839070320129
1,train,0.031293459166710245,0.5584785342216492,0.5419280529022217,0.794985294342041
1,val,0.03353333722334355,0.43359375,0.4213273227214813,0.7852881550788879
2,train,0.026690890088717355,0.637399435043335,0.6252775192260742,0.8513952493667603
2,val,0.026921970280818643,0.6285156011581421,0.5759741067886353,0.8295876383781433
3,train,0.024279529613320375,0.6739276051521301,0.6666288375854492,0.8767445087432861
3,val,0.033051306335255506,0.561718761920929,0.47943738102912903,0.8230001330375671
4,train,0.022862309035682805,0.6983914375305176,0.6901913285255432,0.8890801668167114
4,val,0.028264368348754943,0.6312500238418579,0.5333459377288818,0.8444063663482666
5,train,0.02210455740884386,0.7102882266044617,0.7010177969932556,0.8944774866104126
5,val,0.027452438161708413,0.63671875,0.5388430953025818,0.84971022605896
6,train,0.02082924887877527,0.724530816078186,0.7147929072380066,0.9067567586898804
6,val,0.023697647941298784,0.685546875,0.5973408818244934,0.871427595615387
7,train,0.020430768203319877,0.7241957187652588,0.7078512907028198,0.9066970348358154
7,val,0.026451679901219903,0.650390625,0.5568177700042725,0.8655028343200684
8,train,0.01975197370985558,0.7319034934043884,0.72574782371521,0.914249062538147
8,val,0.021394538518507034,0.723437488079071,0.6435567140579224,0.8851279020309448
9,train,0.018777793742736287,0.7553619146347046,0.7420956492424011,0.9187439680099487
9,val,0.02444030500482768,0.673046886920929,0.5801031589508057,0.8707830905914307
10,train,0.01855732167973595,0.7556970715522766,0.7500746250152588,0.9223358035087585
10,val,0.02300992818782106,0.6812499761581421,0.6210861206054688,0.8731729388237
11,train,0.018733415600341863,0.7543565630912781,0.7470512390136719,0.9200222492218018
11,val,0.02966379579156637,0.5843750238418579,0.54447340965271,0.8667021989822388
12,train,0.017590695218090716,0.76474529504776,0.7605535387992859,0.9297289848327637
12,val,0.021342113672289997,0.7261718511581421,0.6448732614517212,0.8945142030715942
13,train,0.017149403274318967,0.7776474356651306,0.7698904275894165,0.9326692819595337
13,val,0.024555518315173684,0.6820312738418579,0.5869278907775879,0.878363311290741
14,train,0.016661110910869158,0.7873659729957581,0.7811969518661499,0.9342029690742493
14,val,0.02171220714226365,0.707812488079071,0.6116668581962585,0.8947429656982422
15,train,0.016141426177750325,0.7873659729957581,0.782868504524231,0.9375396966934204
15,val,0.022886347316671163,0.7046874761581421,0.6257568597793579,0.8939522504806519
16,train,0.015551804682244885,0.7990951538085938,0.7938242554664612,0.9420071840286255
16,val,0.029701385507360102,0.6148437261581421,0.5649442076683044,0.8674308061599731
17,train,0.01648582202999106,0.7815013527870178,0.7788088321685791,0.9378364086151123
