epoch,stage,loss,accuracy,f1,auc
0,train,0.04187669910630336,0.32221850752830505,0.32334327697753906,0.5800100564956665
0,val,0.04006445920094848,0.5453125238418579,0.2614765465259552,0.5628479719161987
1,train,0.04086614098529713,0.339979887008667,0.3424021005630493,0.6165624856948853
1,val,0.037508296826854345,0.2730468809604645,0.21243439614772797,0.6440547704696655
2,train,0.03321236581728861,0.46380695700645447,0.4488324522972107,0.7262070178985596
2,val,0.03369822872336954,0.582812488079071,0.3410894274711609,0.669818103313446
3,train,0.03177486410009957,0.46749329566955566,0.4469919800758362,0.7392755746841431
3,val,0.03684947309084237,0.2992187440395355,0.2660953402519226,0.6772861480712891
4,train,0.03153848529221545,0.4678284227848053,0.44050878286361694,0.7369091510772705
4,val,0.03771170964464545,0.5609375238418579,0.3065970540046692,0.6551382541656494
5,train,0.03191432791285157,0.46464475989341736,0.45128071308135986,0.73543381690979
5,val,0.035382035002112386,0.1171875,0.20222240686416626,0.6822751760482788
6,train,0.030070680086238775,0.48475199937820435,0.4686840772628784,0.7450505495071411
6,val,0.03577749184332788,0.13007812201976776,0.1934371143579483,0.653648853302002
7,train,0.03026109972803906,0.4963136613368988,0.4760163426399231,0.7518869638442993
7,val,0.03625026070512831,0.16367188096046448,0.24858149886131287,0.6742150783538818
8,train,0.03059463135039199,0.4733579158782959,0.45056602358818054,0.7446765303611755
8,val,0.03518020422197878,0.3656249940395355,0.3316081166267395,0.6752378344535828
9,train,0.030709254458027295,0.49111929535865784,0.44730639457702637,0.7497104406356812
9,val,0.03626094455830753,0.279296875,0.2850779891014099,0.6669979095458984
10,train,0.029332868854737473,0.5247989296913147,0.498024582862854,0.7799907326698303
10,val,0.03476216543931514,0.5394531488418579,0.39975088834762573,0.7287636399269104
11,train,0.028839275660367817,0.5509383082389832,0.5403536558151245,0.7968306541442871
11,val,0.030977583350613715,0.619140625,0.4771684408187866,0.7571083307266235
12,train,0.02937650491780634,0.5579758882522583,0.5200192928314209,0.792730450630188
12,val,0.033384010475128886,0.583203136920929,0.4247966408729553,0.7485238313674927
13,train,0.028488461617330443,0.5713806748390198,0.540469765663147,0.8056367635726929
13,val,0.028912195074371993,0.6148437261581421,0.4395730197429657,0.7746277451515198
14,train,0.025316605609080108,0.6384048461914062,0.598527729511261,0.8451203107833862
14,val,0.028971734433434905,0.592578113079071,0.4854329824447632,0.8252790570259094
15,train,0.02302534276514686,0.6814678311347961,0.6346676349639893,0.8692158460617065
15,val,0.02364873164333403,0.7230468988418579,0.6077559590339661,0.857825517654419
16,train,0.02113116438183484,0.7104557752609253,0.6805979609489441,0.8917390704154968
16,val,0.02440755229908973,0.688671886920929,0.59733647108078,0.8483691215515137
17,train,0.021254600103115587,0.7109584212303162,0.6834754943847656,0.8892479538917542
17,val,0.02561682977247983,0.561718761920929,0.5688931941986084,0.8515584468841553
18,train,0.020849154323299514,0.7211796045303345,0.6976464986801147,0.8916109800338745
18,val,0.021788203029427678,0.6968749761581421,0.5911533832550049,0.8933203220367432
19,train,0.020210288714707376,0.7312332391738892,0.7122029066085815,0.8995851278305054
19,val,0.01969863591948524,0.744921863079071,0.6808051466941833,0.9000360369682312
20,train,0.02009774975718346,0.7308981418609619,0.7126864194869995,0.8993337154388428
20,val,0.019402131263632327,0.7562500238418579,0.6738241314888,0.902105450630188
21,train,0.019181023753839906,0.747989296913147,0.7362426519393921,0.9120190143585205
21,val,0.018473908153828232,0.7691406011581421,0.698137104511261,0.9056570529937744
22,train,0.01935301618725461,0.7411193251609802,0.7263073921203613,0.9067643880844116
22,val,0.01958641584496945,0.747265636920929,0.6503099203109741,0.9070366621017456
23,train,0.018478782687725712,0.7608914375305176,0.7546752691268921,0.9202626943588257
23,val,0.016111897688824685,0.801562488079071,0.7345660924911499,0.9313768148422241
