epoch,stage,loss,accuracy,f1,auc
0,train,0.04306030698899609,0.2875335216522217,0.2788924276828766,0.538483738899231
0,val,0.03896423690021038,0.3101562559604645,0.18870896100997925,0.5666010975837708
1,train,0.03693193662661969,0.41772788763046265,0.39994165301322937,0.6924055814743042
1,val,0.03655343321152031,0.5726562738418579,0.3380444049835205,0.647927463054657
2,train,0.03239071596883257,0.4768766760826111,0.44954025745391846,0.7410740256309509
2,val,0.03912647543475032,0.30078125,0.28101804852485657,0.6281014680862427
3,train,0.03125165617617781,0.48022788763046265,0.4590466618537903,0.7430263757705688
3,val,0.035175785119645295,0.524218738079071,0.33687418699264526,0.6738735437393188
4,train,0.03126936798400917,0.48927614092826843,0.47080230712890625,0.7483927011489868
4,val,0.034754999354481696,0.4515624940395355,0.3487655520439148,0.7132210731506348
5,train,0.03099640336976294,0.5192694664001465,0.4896285831928253,0.7682491540908813
5,val,0.047551795514300464,0.13593749701976776,0.17485320568084717,0.6635032296180725
6,train,0.02989289570030514,0.5613270998001099,0.5191930532455444,0.7912826538085938
6,val,0.04127051024697721,0.23867186903953552,0.2690904140472412,0.7210940718650818
7,train,0.028486860531504607,0.5876340270042419,0.5542753338813782,0.8162424564361572
7,val,0.034311613417230546,0.42460936307907104,0.4135796129703522,0.7599185705184937
8,train,0.025036601569433634,0.6590147614479065,0.6341357231140137,0.8605661988258362
8,val,0.024378115450963377,0.65234375,0.5511647462844849,0.8601911664009094
9,train,0.023050089818662675,0.7009048461914062,0.6721404790878296,0.8772661685943604
9,val,0.027769588539376854,0.615234375,0.5499746799468994,0.8339850306510925
10,train,0.0228817305120642,0.6935321688652039,0.6700746417045593,0.8772616386413574
10,val,0.023172649403568356,0.6910156011581421,0.5751941204071045,0.8674139976501465
11,train,0.022460635981195413,0.692694365978241,0.6689854264259338,0.8807311058044434
11,val,0.02098537883721292,0.711718738079071,0.6196799874305725,0.8762500286102295
12,train,0.02189442198274123,0.7034182548522949,0.6874023079872131,0.8896375894546509
12,val,0.021617641928605734,0.709765613079071,0.6434661149978638,0.8755242824554443
13,train,0.020509384797221853,0.7260388731956482,0.705884575843811,0.8975096344947815
13,val,0.020721772557590157,0.7261718511581421,0.6200863122940063,0.8902856707572937
14,train,0.020640534091611012,0.7223525643348694,0.7066627144813538,0.8986707925796509
14,val,0.02040879960404709,0.7269531488418579,0.6456753015518188,0.9003374576568604
15,train,0.020540182441273258,0.7243632674217224,0.7050777673721313,0.8990575671195984
15,val,0.024259625596459954,0.6878906488418579,0.5812063217163086,0.8673737645149231
16,train,0.01998881111795397,0.7409517168998718,0.7256947755813599,0.9046403169631958
16,val,0.01837728142272681,0.740234375,0.6505457758903503,0.915535569190979
17,train,0.019986059991068558,0.7379356622695923,0.7186856269836426,0.9040579795837402
17,val,0.020087623794097453,0.733203113079071,0.6394516229629517,0.903670072555542
18,train,0.019223509241524713,0.7478216886520386,0.7344356179237366,0.9091838598251343
18,val,0.020607362838927657,0.7417968511581421,0.6670394539833069,0.9028806090354919
19,train,0.018655342486844306,0.7565348744392395,0.7461732029914856,0.9163944125175476
